"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","الجزائر","012","DZA","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","مصر","818","EGY","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","ليبيا","434","LBY","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","المغرب","504","MAR","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","السودان","729","SDN","x","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","تونس","788","TUN","","","","Developing"
"001","العالم","002","أفريقيا","015","أفريقيا الشمالية","","","الصحراء الغربية","732","ESH","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","المحيط الهندي الإقليم البريطاني في","086","IOT","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","بوروندي","108","BDI","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","جزر القمر","174","COM","x","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","جيبوتي","262","DJI","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","إريتريا","232","ERI","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","إثيوبيا","231","ETH","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","الأراضي الفرنسية الجنوبية الجنوبية","260","ATF","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","كينيا","404","KEN","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","مدغشقر","450","MDG","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","ملاوي","454","MWI","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","موريشيوس","480","MUS","","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","مايوت","175","MYT","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","موزامبيق","508","MOZ","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","ريونيون","638","REU","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","رواندا","646","RWA","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","سيشيل","690","SYC","","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","الصومال","706","SOM","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","جنوب السودان","728","SSD","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","أوغندا","800","UGA","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","جمهورية تنزانيا المتحدة","834","TZA","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","زامبيا","894","ZMB","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","014","شرق أفريقيا","زمبابوي","716","ZWE","","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","أنغولا","024","AGO","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","الكاميرون","120","CMR","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","جمهورية أفريقيا الوسطى","140","CAF","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","تشاد","148","TCD","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","الكونغو","178","COG","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","جمهورية الكونغو الديمقراطية","180","COD","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","غينيا الاستوائية","226","GNQ","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","غابون","266","GAB","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","017","وسط أفريقيا","سان تومي وبرينسيبي","678","STP","x","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","018","الجنوب الأفريقي","بوتسوانا","072","BWA","","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","018","الجنوب الأفريقي","إسواتيني","748","SWZ","","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","018","الجنوب الأفريقي","ليسوتو","426","LSO","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","018","الجنوب الأفريقي","ناميبيا","516","NAM","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","018","الجنوب الأفريقي","جنوب أفريقيا","710","ZAF","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","بنن","204","BEN","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","بوركينا فاسو","854","BFA","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","كابو فيردي","132","CPV","","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","كوت ديفوار","384","CIV","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","غامبيا","270","GMB","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","غانا","288","GHA","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","غينيا","324","GIN","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","غينيا - بيساو","624","GNB","x","","x","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","ليبريا","430","LBR","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","مالي","466","MLI","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","موريتانيا","478","MRT","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","النيجر","562","NER","x","x","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","نيجيريا","566","NGA","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","سانت هيلانة","654","SHN","","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","السنغال","686","SEN","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","سيراليون","694","SLE","x","","","Developing"
"001","العالم","002","أفريقيا","202","أفريقيا جنوب الصحراء الكبرى","011","غرب أفريقيا","توغو","768","TGO","x","","","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","029","منطقة البحر الكاريبي","أنغويلا","660","AIA","","","x","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","029","منطقة البحر الكاريبي","أنتيغوا وبربودا","028","ATG","","","x","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","029","منطقة البحر الكاريبي","أروبا","533","ABW","","","x","Developing"
"001","العالم","019","الأمريكتان","419","أمريكا اللاتينية ومنطقة البحر الكاريبي","029","منطقة البحر الكاريبي","جزر البهاما","044","BHS","","","x","Developing"
