name,id,admin_level,type,type_noneng,ISO3,source
Barisal,BGD::Barisal,1,division,Bibhag,BGD,GADM
Chittagong,BGD::Chittagong,1,division,Bibhag,BGD,GADM
Dhaka,BGD::Dhaka,1,division,Bibhag,BGD,GADM
Khulna,BGD::Khulna,1,division,Bibhag,BGD,GADM
Rajshahi,BGD::Rajshahi,1,division,Bibhag,BGD,GADM
Rangpur,BGD::Rangpur,1,division,Bibhag,BGD,GADM
Sylhet,BGD::Sylhet,1,division,Bibhag,BGD,GADM
Barguna,BGD::Barisal::Barguna,2,district,Zila,BGD,GADM
Barisal,BGD::Barisal::Barisal,2,district,Zila,BGD,GADM
Bhola,BGD::Barisal::Bhola,2,district,Zila,BGD,GADM
Jhalokati,BGD::Barisal::Jhalokati,2,district,Zila,BGD,GADM
Patuakhali,BGD::Barisal::Patuakhali,2,district,Zila,BGD,GADM
Pirojpur,BGD::Barisal::Pirojpur,2,district,Zila,BGD,GADM
Bandarban,BGD::Chittagong::Bandarban,2,district,Zila,BGD,GADM
Brahamanbaria,BGD::Chittagong::Brahamanbaria,2,district,Zila,BGD,GADM
Chandpur,BGD::Chittagong::Chandpur,2,district,Zila,BGD,GADM
Chittagong,BGD::Chittagong::Chittagong,2,district,Zila,BGD,GADM
Comilla,BGD::Chittagong::Comilla,2,district,Zila,BGD,GADM
Cox'S Bazar,BGD::Chittagong::Cox'S Bazar,2,district,Zila,BGD,GADM
Feni,BGD::Chittagong::Feni,2,district,Zila,BGD,GADM
Khagrachhari,BGD::Chittagong::Khagrachhari,2,district,Zila,BGD,GADM
Lakshmipur,BGD::Chittagong::Lakshmipur,2,district,Zila,BGD,GADM
Noakhali,BGD::Chittagong::Noakhali,2,district,Zila,BGD,GADM
Rangamati,BGD::Chittagong::Rangamati,2,district,Zila,BGD,GADM
Dhaka,BGD::Dhaka::Dhaka,2,district,Zila,BGD,GADM
Faridpur,BGD::Dhaka::Faridpur,2,district,Zila,BGD,GADM
Gazipur,BGD::Dhaka::Gazipur,2,district,Zila,BGD,GADM
Gopalganj,BGD::Dhaka::Gopalganj,2,district,Zila,BGD,GADM
Jamalpur,BGD::Dhaka::Jamalpur,2,district,Zila,BGD,GADM
Kishoreganj,BGD::Dhaka::Kishoreganj,2,district,Zila,BGD,GADM
Madaripur,BGD::Dhaka::Madaripur,2,district,Zila,BGD,GADM
Manikganj,BGD::Dhaka::Manikganj,2,district,Zila,BGD,GADM
