name,id,admin_level,type,type_noneng,ISO3,source
Munshiganj,BGD::Dhaka::Munshiganj,2,district,Zila,BGD,GADM
Mymensingh,BGD::Dhaka::Mymensingh,2,district,Zila,BGD,GADM
Narayanganj,BGD::Dhaka::Narayanganj,2,district,Zila,BGD,GADM
Narsingdi,BGD::Dhaka::Narsingdi,2,district,Zila,BGD,GADM
Netrakona,BGD::Dhaka::Netrakona,2,district,Zila,BGD,GADM
Rajbari,BGD::Dhaka::Rajbari,2,district,Zila,BGD,GADM
Shariatpur,BGD::Dhaka::Shariatpur,2,district,Zila,BGD,GADM
Sherpur,BGD::Dhaka::Sherpur,2,district,Zila,BGD,GADM
Tangail,BGD::Dhaka::Tangail,2,district,Zila,BGD,GADM
Bagerhat,BGD::Khulna::Bagerhat,2,district,Zila,BGD,GADM
Chuadanga,BGD::Khulna::Chuadanga,2,district,Zila,BGD,GADM
Jessore,BGD::Khulna::Jessore,2,district,Zila,BGD,GADM
Jhenaidah,BGD::Khulna::Jhenaidah,2,district,Zila,BGD,GADM
Khulna,BGD::Khulna::Khulna,2,district,Zila,BGD,GADM
Kushtia,BGD::Khulna::Kushtia,2,district,Zila,BGD,GADM
Magura,BGD::Khulna::Magura,2,district,Zila,BGD,GADM
Meherpur,BGD::Khulna::Meherpur,2,district,Zila,BGD,GADM
Narail,BGD::Khulna::Narail,2,district,Zila,BGD,GADM
Satkhira,BGD::Khulna::Satkhira,2,district,Zila,BGD,GADM
Bogra,BGD::Rajshahi::Bogra,2,district,Zila,BGD,GADM
Joypurhat,BGD::Rajshahi::Joypurhat,2,district,Zila,BGD,GADM
Naogaon,BGD::Rajshahi::Naogaon,2,district,Zila,BGD,GADM
Natore,BGD::Rajshahi::Natore,2,district,Zila,BGD,GADM
Nawabganj,BGD::Rajshahi::Nawabganj,2,district,Zila,BGD,GADM
Pabna,BGD::Rajshahi::Pabna,2,district,Zila,BGD,GADM
Rajshahi,BGD::Rajshahi::Rajshahi,2,district,Zila,BGD,GADM
Sirajganj,BGD::Rajshahi::Sirajganj,2,district,Zila,BGD,GADM
Dinajpur,BGD::Rangpur::Dinajpur,2,district,Zila,BGD,GADM
Gaibandha,BGD::Rangpur::Gaibandha,2,district,Zila,BGD,GADM
Kurigram,BGD::Rangpur::Kurigram,2,district,Zila,BGD,GADM
Lalmonirhat,BGD::Rangpur::Lalmonirhat,2,district,Zila,BGD,GADM
Nilphamari,BGD::Rangpur::Nilphamari,2,district,Zila,BGD,GADM
Panchagarh,BGD::Rangpur::Panchagarh,2,district,Zila,BGD,GADM
Rangpur,BGD::Rangpur::Rangpur,2,district,Zila,BGD,GADM
Thakurgaon,BGD::Rangpur::Thakurgaon,2,district,Zila,BGD,GADM
Habiganj,BGD::Sylhet::Habiganj,2,district,Zila,BGD,GADM
Maulvibazar,BGD::Sylhet::Maulvibazar,2,district,Zila,BGD,GADM
Sunamganj,BGD::Sylhet::Sunamganj,2,district,Zila,BGD,GADM
Sylhet,BGD::Sylhet::Sylhet,2,district,Zila,BGD,GADM
Amtali,BGD::Barisal::Barguna::Amtali,3,upazilla,Upazilla,BGD,GADM
Bamna,BGD::Barisal::Barguna::Bamna,3,upazilla,Upazilla,BGD,GADM
Barguna Sadar,BGD::Barisal::Barguna::Barguna Sadar,3,upazilla,Upazilla,BGD,GADM
Betagi,BGD::Barisal::Barguna::Betagi,3,upazilla,Upazilla,BGD,GADM
Patharghata,BGD::Barisal::Barguna::Patharghata,3,upazilla,Upazilla,BGD,GADM
Agailjhara,BGD::Barisal::Barisal::Agailjhara,3,upazilla,Upazilla,BGD,GADM
Babuganj,BGD::Barisal::Barisal::Babuganj,3,upazilla,Upazilla,BGD,GADM
Bakerganj,BGD::Barisal::Barisal::Bakerganj,3,upazilla,Upazilla,BGD,GADM
Banari Para,BGD::Barisal::Barisal::Banari Para,3,upazilla,Upazilla,BGD,GADM
Barisal Sadar (Kotwali),BGD::Barisal::Barisal::Barisal Sadar (Kotwali),3,upazilla,Upazilla,BGD,GADM
Gaurnadi,BGD::Barisal::Barisal::Gaurnadi,3,upazilla,Upazilla,BGD,GADM
Hizla,BGD::Barisal::Barisal::Hizla,3,upazilla,Upazilla,BGD,GADM
Mehendiganj,BGD::Barisal::Barisal::Mehendiganj,3,upazilla,Upazilla,BGD,GADM
Muladi,BGD::Barisal::Barisal::Muladi,3,upazilla,Upazilla,BGD,GADM
Wazirpur,BGD::Barisal::Barisal::Wazirpur,3,upazilla,Upazilla,BGD,GADM
Bhola Sadar,BGD::Barisal::Bhola::Bhola Sadar,3,upazilla,Upazilla,BGD,GADM
Burhanuddin,BGD::Barisal::Bhola::Burhanuddin,3,upazilla,Upazilla,BGD,GADM
Char Fasson,BGD::Barisal::Bhola::Char Fasson,3,upazilla,Upazilla,BGD,GADM
Daulatkhan,BGD::Barisal::Bhola::Daulatkhan,3,upazilla,Upazilla,BGD,GADM
Lalmohan,BGD::Barisal::Bhola::Lalmohan,3,upazilla,Upazilla,BGD,GADM
Manpura,BGD::Barisal::Bhola::Manpura,3,upazilla,Upazilla,BGD,GADM
Tazumuddin,BGD::Barisal::Bhola::Tazumuddin,3,upazilla,Upazilla,BGD,GADM
Jhalokati Sadar,BGD::Barisal::Jhalokati::Jhalokati Sadar,3,upazilla,Upazilla,BGD,GADM
Kanthalia,BGD::Barisal::Jhalokati::Kanthalia,3,upazilla,Upazilla,BGD,GADM
Nalchity,BGD::Barisal::Jhalokati::Nalchity,3,upazilla,Upazilla,BGD,GADM
Rajapur,BGD::Barisal::Jhalokati::Rajapur,3,upazilla,Upazilla,BGD,GADM
Bauphal,BGD::Barisal::Patuakhali::Bauphal,3,upazilla,Upazilla,BGD,GADM
Dashmina,BGD::Barisal::Patuakhali::Dashmina,3,upazilla,Upazilla,BGD,GADM
Dumki,BGD::Barisal::Patuakhali::Dumki,3,upazilla,Upazilla,BGD,GADM
Galachipa,BGD::Barisal::Patuakhali::Galachipa,3,upazilla,Upazilla,BGD,GADM
Kala Para,BGD::Barisal::Patuakhali::Kala Para,3,upazilla,Upazilla,BGD,GADM
Mirzaganj,BGD::Barisal::Patuakhali::Mirzaganj,3,upazilla,Upazilla,BGD,GADM
Patuakhali Sadar,BGD::Barisal::Patuakhali::Patuakhali Sadar,3,upazilla,Upazilla,BGD,GADM
Bhandaria,BGD::Barisal::Pirojpur::Bhandaria,3,upazilla,Upazilla,BGD,GADM
Kawkhali,BGD::Barisal::Pirojpur::Kawkhali,3,upazilla,Upazilla,BGD,GADM
Mathbaria,BGD::Barisal::Pirojpur::Mathbaria,3,upazilla,Upazilla,BGD,GADM
Nazirpur,BGD::Barisal::Pirojpur::Nazirpur,3,upazilla,Upazilla,BGD,GADM
Nesarabad (Swarupkati),BGD::Barisal::Pirojpur::Nesarabad (Swarupkati),3,upazilla,Upazilla,BGD,GADM
Pirojpur Sadar,BGD::Barisal::Pirojpur::Pirojpur Sadar,3,upazilla,Upazilla,BGD,GADM
Zianagar,BGD::Barisal::Pirojpur::Zianagar,3,upazilla,Upazilla,BGD,GADM
Alikadam,BGD::Chittagong::Bandarban::Alikadam,3,upazilla,Upazilla,BGD,GADM
Bandarban Sadar,BGD::Chittagong::Bandarban::Bandarban Sadar,3,upazilla,Upazilla,BGD,GADM
Lama,BGD::Chittagong::Bandarban::Lama,3,upazilla,Upazilla,BGD,GADM
Naikhongchhari,BGD::Chittagong::Bandarban::Naikhongchhari,3,upazilla,Upazilla,BGD,GADM
Rowangchhari,BGD::Chittagong::Bandarban::Rowangchhari,3,upazilla,Upazilla,BGD,GADM
Ruma,BGD::Chittagong::Bandarban::Ruma,3,upazilla,Upazilla,BGD,GADM
Thanchi,BGD::Chittagong::Bandarban::Thanchi,3,upazilla,Upazilla,BGD,GADM
Akhaura,BGD::Chittagong::Brahamanbaria::Akhaura,3,upazilla,Upazilla,BGD,GADM
Ashuganj,BGD::Chittagong::Brahamanbaria::Ashuganj,3,upazilla,Upazilla,BGD,GADM
Banchharampur,BGD::Chittagong::Brahamanbaria::Banchharampur,3,upazilla,Upazilla,BGD,GADM
Bijoynagar,BGD::Chittagong::Brahamanbaria::Bijoynagar,3,upazilla,Upazilla,BGD,GADM
Brahmanbaria Sadar,BGD::Chittagong::Brahamanbaria::Brahmanbaria Sadar,3,upazilla,Upazilla,BGD,GADM
Kasba,BGD::Chittagong::Brahamanbaria::Kasba,3,upazilla,Upazilla,BGD,GADM
Nabinagar,BGD::Chittagong::Brahamanbaria::Nabinagar,3,upazilla,Upazilla,BGD,GADM
Nasirnagar,BGD::Chittagong::Brahamanbaria::Nasirnagar,3,upazilla,Upazilla,BGD,GADM
Sarail,BGD::Chittagong::Brahamanbaria::Sarail,3,upazilla,Upazilla,BGD,GADM
Chandpur Sadar,BGD::Chittagong::Chandpur::Chandpur Sadar,3,upazilla,Upazilla,BGD,GADM
Faridganj,BGD::Chittagong::Chandpur::Faridganj,3,upazilla,Upazilla,BGD,GADM
Haim Char,BGD::Chittagong::Chandpur::Haim Char,3,upazilla,Upazilla,BGD,GADM
Hajiganj,BGD::Chittagong::Chandpur::Hajiganj,3,upazilla,Upazilla,BGD,GADM
Kachua,BGD::Chittagong::Chandpur::Kachua,3,upazilla,Upazilla,BGD,GADM
Matlab Dakshin,BGD::Chittagong::Chandpur::Matlab Dakshin,3,upazilla,Upazilla,BGD,GADM
Matlab Uttar,BGD::Chittagong::Chandpur::Matlab Uttar,3,upazilla,Upazilla,BGD,GADM
Shahrasti,BGD::Chittagong::Chandpur::Shahrasti,3,upazilla,Upazilla,BGD,GADM
Anowara,BGD::Chittagong::Chittagong::Anowara,3,upazilla,Upazilla,BGD,GADM
Bakalia,BGD::Chittagong::Chittagong::Bakalia,3,upazilla,Upazilla,BGD,GADM
Banshkhali,BGD::Chittagong::Chittagong::Banshkhali,3,upazilla,Upazilla,BGD,GADM
Bayejid Bostami,BGD::Chittagong::Chittagong::Bayejid Bostami,3,upazilla,Upazilla,BGD,GADM
Boalkhali,BGD::Chittagong::Chittagong::Boalkhali,3,upazilla,Upazilla,BGD,GADM
Chandanaish,BGD::Chittagong::Chittagong::Chandanaish,3,upazilla,Upazilla,BGD,GADM
Chandgaon,BGD::Chittagong::Chittagong::Chandgaon,3,upazilla,Upazilla,BGD,GADM
Chittagong Port,BGD::Chittagong::Chittagong::Chittagong Port,3,upazilla,Upazilla,BGD,GADM
Double Mooring,BGD::Chittagong::Chittagong::Double Mooring,3,upazilla,Upazilla,BGD,GADM
Fatikchhari,BGD::Chittagong::Chittagong::Fatikchhari,3,upazilla,Upazilla,BGD,GADM
Halishahar,BGD::Chittagong::Chittagong::Halishahar,3,upazilla,Upazilla,BGD,GADM
Hathazari,BGD::Chittagong::Chittagong::Hathazari,3,upazilla,Upazilla,BGD,GADM
Khulshi,BGD::Chittagong::Chittagong::Khulshi,3,upazilla,Upazilla,BGD,GADM
Kotwali,BGD::Chittagong::Chittagong::Kotwali,3,upazilla,Upazilla,BGD,GADM
Lohagara,BGD::Chittagong::Chittagong::Lohagara,3,upazilla,Upazilla,BGD,GADM
Mirsharai,BGD::Chittagong::Chittagong::Mirsharai,3,upazilla,Upazilla,BGD,GADM
Pahartali,BGD::Chittagong::Chittagong::Pahartali,3,upazilla,Upazilla,BGD,GADM
Panchlaish,BGD::Chittagong::Chittagong::Panchlaish,3,upazilla,Upazilla,BGD,GADM
Patenga,BGD::Chittagong::Chittagong::Patenga,3,upazilla,Upazilla,BGD,GADM
Patiya,BGD::Chittagong::Chittagong::Patiya,3,upazilla,Upazilla,BGD,GADM
Rangunia,BGD::Chittagong::Chittagong::Rangunia,3,upazilla,Upazilla,BGD,GADM
Raozan,BGD::Chittagong::Chittagong::Raozan,3,upazilla,Upazilla,BGD,GADM
Sandwip,BGD::Chittagong::Chittagong::Sandwip,3,upazilla,Upazilla,BGD,GADM
Satkania,BGD::Chittagong::Chittagong::Satkania,3,upazilla,Upazilla,BGD,GADM
Sitakunda,BGD::Chittagong::Chittagong::Sitakunda,3,upazilla,Upazilla,BGD,GADM
Barura,BGD::Chittagong::Comilla::Barura,3,upazilla,Upazilla,BGD,GADM
Brahman Para,BGD::Chittagong::Comilla::Brahman Para,3,upazilla,Upazilla,BGD,GADM
Burichang,BGD::Chittagong::Comilla::Burichang,3,upazilla,Upazilla,BGD,GADM
Chandina,BGD::Chittagong::Comilla::Chandina,3,upazilla,Upazilla,BGD,GADM
Chauddagram,BGD::Chittagong::Comilla::Chauddagram,3,upazilla,Upazilla,BGD,GADM
Comilla Adarsha Sadar,BGD::Chittagong::Comilla::Comilla Adarsha Sadar,3,upazilla,Upazilla,BGD,GADM
Comilla Sadar Dakshin,BGD::Chittagong::Comilla::Comilla Sadar Dakshin,3,upazilla,Upazilla,BGD,GADM
Daudkandi,BGD::Chittagong::Comilla::Daudkandi,3,upazilla,Upazilla,BGD,GADM
Debidwar,BGD::Chittagong::Comilla::Debidwar,3,upazilla,Upazilla,BGD,GADM
Homna,BGD::Chittagong::Comilla::Homna,3,upazilla,Upazilla,BGD,GADM
Laksam,BGD::Chittagong::Comilla::Laksam,3,upazilla,Upazilla,BGD,GADM
Manoharganj,BGD::Chittagong::Comilla::Manoharganj,3,upazilla,Upazilla,BGD,GADM
Meghna,BGD::Chittagong::Comilla::Meghna,3,upazilla,Upazilla,BGD,GADM
Muradnagar,BGD::Chittagong::Comilla::Muradnagar,3,upazilla,Upazilla,BGD,GADM
Nangalkot,BGD::Chittagong::Comilla::Nangalkot,3,upazilla,Upazilla,BGD,GADM
Titas,BGD::Chittagong::Comilla::Titas,3,upazilla,Upazilla,BGD,GADM
Chakaria,BGD::Chittagong::Cox'S Bazar::Chakaria,3,upazilla,Upazilla,BGD,GADM
Cox'S Bazar Sadar,BGD::Chittagong::Cox'S Bazar::Cox'S Bazar Sadar,3,upazilla,Upazilla,BGD,GADM
Kutubdia,BGD::Chittagong::Cox'S Bazar::Kutubdia,3,upazilla,Upazilla,BGD,GADM
Maheshkhali,BGD::Chittagong::Cox'S Bazar::Maheshkhali,3,upazilla,Upazilla,BGD,GADM
Pekua,BGD::Chittagong::Cox'S Bazar::Pekua,3,upazilla,Upazilla,BGD,GADM
Ramu,BGD::Chittagong::Cox'S Bazar::Ramu,3,upazilla,Upazilla,BGD,GADM
Teknaf,BGD::Chittagong::Cox'S Bazar::Teknaf,3,upazilla,Upazilla,BGD,GADM
Ukhia,BGD::Chittagong::Cox'S Bazar::Ukhia,3,upazilla,Upazilla,BGD,GADM
Chhagalnaiya,BGD::Chittagong::Feni::Chhagalnaiya,3,upazilla,Upazilla,BGD,GADM
Daganbhuiyan,BGD::Chittagong::Feni::Daganbhuiyan,3,upazilla,Upazilla,BGD,GADM
Feni Sadar,BGD::Chittagong::Feni::Feni Sadar,3,upazilla,Upazilla,BGD,GADM
Fulgazi,BGD::Chittagong::Feni::Fulgazi,3,upazilla,Upazilla,BGD,GADM
Parshuram,BGD::Chittagong::Feni::Parshuram,3,upazilla,Upazilla,BGD,GADM
Sonagazi,BGD::Chittagong::Feni::Sonagazi,3,upazilla,Upazilla,BGD,GADM
Dighinala,BGD::Chittagong::Khagrachhari::Dighinala,3,upazilla,Upazilla,BGD,GADM
Khagrachhari Sadar,BGD::Chittagong::Khagrachhari::Khagrachhari Sadar,3,upazilla,Upazilla,BGD,GADM
Lakshmichhari,BGD::Chittagong::Khagrachhari::Lakshmichhari,3,upazilla,Upazilla,BGD,GADM
Mahalchhari,BGD::Chittagong::Khagrachhari::Mahalchhari,3,upazilla,Upazilla,BGD,GADM
Manikchhari,BGD::Chittagong::Khagrachhari::Manikchhari,3,upazilla,Upazilla,BGD,GADM
Matiranga,BGD::Chittagong::Khagrachhari::Matiranga,3,upazilla,Upazilla,BGD,GADM
Panchhari,BGD::Chittagong::Khagrachhari::Panchhari,3,upazilla,Upazilla,BGD,GADM
Ramgarh,BGD::Chittagong::Khagrachhari::Ramgarh,3,upazilla,Upazilla,BGD,GADM
Kamalnagar,BGD::Chittagong::Lakshmipur::Kamalnagar,3,upazilla,Upazilla,BGD,GADM
Lakshmipur Sadar,BGD::Chittagong::Lakshmipur::Lakshmipur Sadar,3,upazilla,Upazilla,BGD,GADM
Ramganj,BGD::Chittagong::Lakshmipur::Ramganj,3,upazilla,Upazilla,BGD,GADM
Ramgati,BGD::Chittagong::Lakshmipur::Ramgati,3,upazilla,Upazilla,BGD,GADM
Roypur,BGD::Chittagong::Lakshmipur::Roypur,3,upazilla,Upazilla,BGD,GADM
Begumganj,BGD::Chittagong::Noakhali::Begumganj,3,upazilla,Upazilla,BGD,GADM
Chatkhil,BGD::Chittagong::Noakhali::Chatkhil,3,upazilla,Upazilla,BGD,GADM
Companiganj,BGD::Chittagong::Noakhali::Companiganj,3,upazilla,Upazilla,BGD,GADM
Hatiya,BGD::Chittagong::Noakhali::Hatiya,3,upazilla,Upazilla,BGD,GADM
Kabirhat,BGD::Chittagong::Noakhali::Kabirhat,3,upazilla,Upazilla,BGD,GADM
Noakhali Sadar (Sudharam),BGD::Chittagong::Noakhali::Noakhali Sadar (Sudharam),3,upazilla,Upazilla,BGD,GADM
Senbagh,BGD::Chittagong::Noakhali::Senbagh,3,upazilla,Upazilla,BGD,GADM
Sonaimuri,BGD::Chittagong::Noakhali::Sonaimuri,3,upazilla,Upazilla,BGD,GADM
Subarnachar,BGD::Chittagong::Noakhali::Subarnachar,3,upazilla,Upazilla,BGD,GADM
Baghai Chhari,BGD::Chittagong::Rangamati::Baghai Chhari,3,upazilla,Upazilla,BGD,GADM
Barkal,BGD::Chittagong::Rangamati::Barkal,3,upazilla,Upazilla,BGD,GADM
Belai Chhari,BGD::Chittagong::Rangamati::Belai Chhari,3,upazilla,Upazilla,BGD,GADM
Jurai Chhari,BGD::Chittagong::Rangamati::Jurai Chhari,3,upazilla,Upazilla,BGD,GADM
Kaptai,BGD::Chittagong::Rangamati::Kaptai,3,upazilla,Upazilla,BGD,GADM
Kawkhali (Betbunia),BGD::Chittagong::Rangamati::Kawkhali (Betbunia),3,upazilla,Upazilla,BGD,GADM
Langadu,BGD::Chittagong::Rangamati::Langadu,3,upazilla,Upazilla,BGD,GADM
Naniarchar,BGD::Chittagong::Rangamati::Naniarchar,3,upazilla,Upazilla,BGD,GADM
Rajasthali,BGD::Chittagong::Rangamati::Rajasthali,3,upazilla,Upazilla,BGD,GADM
Rangamati Sadar,BGD::Chittagong::Rangamati::Rangamati Sadar,3,upazilla,Upazilla,BGD,GADM
Adabor,BGD::Dhaka::Dhaka::Adabor,3,upazilla,Upazilla,BGD,GADM
Badda,BGD::Dhaka::Dhaka::Badda,3,upazilla,Upazilla,BGD,GADM
Bangshal,BGD::Dhaka::Dhaka::Bangshal,3,upazilla,Upazilla,BGD,GADM
Biman Bandar,BGD::Dhaka::Dhaka::Biman Bandar,3,upazilla,Upazilla,BGD,GADM
Cantonment,BGD::Dhaka::Dhaka::Cantonment,3,upazilla,Upazilla,BGD,GADM
Chak Bazar,BGD::Dhaka::Dhaka::Chak Bazar,3,upazilla,Upazilla,BGD,GADM
Dakshinkhan,BGD::Dhaka::Dhaka::Dakshinkhan,3,upazilla,Upazilla,BGD,GADM
Darus Salam,BGD::Dhaka::Dhaka::Darus Salam,3,upazilla,Upazilla,BGD,GADM
Demra,BGD::Dhaka::Dhaka::Demra,3,upazilla,Upazilla,BGD,GADM
Dhamrai,BGD::Dhaka::Dhaka::Dhamrai,3,upazilla,Upazilla,BGD,GADM
Dhanmondi,BGD::Dhaka::Dhaka::Dhanmondi,3,upazilla,Upazilla,BGD,GADM
Dohar,BGD::Dhaka::Dhaka::Dohar,3,upazilla,Upazilla,BGD,GADM
Gendaria,BGD::Dhaka::Dhaka::Gendaria,3,upazilla,Upazilla,BGD,GADM
Gulshan,BGD::Dhaka::Dhaka::Gulshan,3,upazilla,Upazilla,BGD,GADM
Hazaribagh,BGD::Dhaka::Dhaka::Hazaribagh,3,upazilla,Upazilla,BGD,GADM
Jatrabari,BGD::Dhaka::Dhaka::Jatrabari,3,upazilla,Upazilla,BGD,GADM
Kadamtali,BGD::Dhaka::Dhaka::Kadamtali,3,upazilla,Upazilla,BGD,GADM
Kafrul,BGD::Dhaka::Dhaka::Kafrul,3,upazilla,Upazilla,BGD,GADM
Kalabagan,BGD::Dhaka::Dhaka::Kalabagan,3,upazilla,Upazilla,BGD,GADM
Kamrangir Char,BGD::Dhaka::Dhaka::Kamrangir Char,3,upazilla,Upazilla,BGD,GADM
Keraniganj,BGD::Dhaka::Dhaka::Keraniganj,3,upazilla,Upazilla,BGD,GADM
Khilgaon,BGD::Dhaka::Dhaka::Khilgaon,3,upazilla,Upazilla,BGD,GADM
Khilkhet,BGD::Dhaka::Dhaka::Khilkhet,3,upazilla,Upazilla,BGD,GADM
Kotwali,BGD::Dhaka::Dhaka::Kotwali,3,upazilla,Upazilla,BGD,GADM
Lalbagh,BGD::Dhaka::Dhaka::Lalbagh,3,upazilla,Upazilla,BGD,GADM
Mirpur,BGD::Dhaka::Dhaka::Mirpur,3,upazilla,Upazilla,BGD,GADM
Mohammadpur,BGD::Dhaka::Dhaka::Mohammadpur,3,upazilla,Upazilla,BGD,GADM
Motijheel,BGD::Dhaka::Dhaka::Motijheel,3,upazilla,Upazilla,BGD,GADM
Nawabganj,BGD::Dhaka::Dhaka::Nawabganj,3,upazilla,Upazilla,BGD,GADM
New Market,BGD::Dhaka::Dhaka::New Market,3,upazilla,Upazilla,BGD,GADM
Pallabi,BGD::Dhaka::Dhaka::Pallabi,3,upazilla,Upazilla,BGD,GADM
Paltan,BGD::Dhaka::Dhaka::Paltan,3,upazilla,Upazilla,BGD,GADM
Ramna,BGD::Dhaka::Dhaka::Ramna,3,upazilla,Upazilla,BGD,GADM
Rampura,BGD::Dhaka::Dhaka::Rampura,3,upazilla,Upazilla,BGD,GADM
Sabujbagh,BGD::Dhaka::Dhaka::Sabujbagh,3,upazilla,Upazilla,BGD,GADM
Savar,BGD::Dhaka::Dhaka::Savar,3,upazilla,Upazilla,BGD,GADM
Shah Ali,BGD::Dhaka::Dhaka::Shah Ali,3,upazilla,Upazilla,BGD,GADM
Shahbagh,BGD::Dhaka::Dhaka::Shahbagh,3,upazilla,Upazilla,BGD,GADM
Sher-e-bangla Nagar,BGD::Dhaka::Dhaka::Sher-e-bangla Nagar,3,upazilla,Upazilla,BGD,GADM
Shyampur,BGD::Dhaka::Dhaka::Shyampur,3,upazilla,Upazilla,BGD,GADM
Sutrapur,BGD::Dhaka::Dhaka::Sutrapur,3,upazilla,Upazilla,BGD,GADM
Tejgaon,BGD::Dhaka::Dhaka::Tejgaon,3,upazilla,Upazilla,BGD,GADM
Tejgaon Ind. Area,BGD::Dhaka::Dhaka::Tejgaon Ind. Area,3,upazilla,Upazilla,BGD,GADM
Turag,BGD::Dhaka::Dhaka::Turag,3,upazilla,Upazilla,BGD,GADM
Uttar Khan,BGD::Dhaka::Dhaka::Uttar Khan,3,upazilla,Upazilla,BGD,GADM
Uttara,BGD::Dhaka::Dhaka::Uttara,3,upazilla,Upazilla,BGD,GADM
Alfadanga,BGD::Dhaka::Faridpur::Alfadanga,3,upazilla,Upazilla,BGD,GADM
Bhanga,BGD::Dhaka::Faridpur::Bhanga,3,upazilla,Upazilla,BGD,GADM
Boalmari,BGD::Dhaka::Faridpur::Boalmari,3,upazilla,Upazilla,BGD,GADM
Char Bhadrasan,BGD::Dhaka::Faridpur::Char Bhadrasan,3,upazilla,Upazilla,BGD,GADM
Faridpur Sadar,BGD::Dhaka::Faridpur::Faridpur Sadar,3,upazilla,Upazilla,BGD,GADM
Madhukhali,BGD::Dhaka::Faridpur::Madhukhali,3,upazilla,Upazilla,BGD,GADM
Nagarkanda,BGD::Dhaka::Faridpur::Nagarkanda,3,upazilla,Upazilla,BGD,GADM
Sadarpur,BGD::Dhaka::Faridpur::Sadarpur,3,upazilla,Upazilla,BGD,GADM
Saltha,BGD::Dhaka::Faridpur::Saltha,3,upazilla,Upazilla,BGD,GADM
Gazipur Sadar,BGD::Dhaka::Gazipur::Gazipur Sadar,3,upazilla,Upazilla,BGD,GADM
Kaliakair,BGD::Dhaka::Gazipur::Kaliakair,3,upazilla,Upazilla,BGD,GADM
Kaliganj,BGD::Dhaka::Gazipur::Kaliganj,3,upazilla,Upazilla,BGD,GADM
Kaliganj Paurashava,BGD::Dhaka::Gazipur::Kaliganj Paurashava,3,upazilla,Upazilla,BGD,GADM
Kapasia,BGD::Dhaka::Gazipur::Kapasia,3,upazilla,Upazilla,BGD,GADM
Sreepur,BGD::Dhaka::Gazipur::Sreepur,3,upazilla,Upazilla,BGD,GADM
Gopalganj Sadar,BGD::Dhaka::Gopalganj::Gopalganj Sadar,3,upazilla,Upazilla,BGD,GADM
Kashiani,BGD::Dhaka::Gopalganj::Kashiani,3,upazilla,Upazilla,BGD,GADM
Kotali Para,BGD::Dhaka::Gopalganj::Kotali Para,3,upazilla,Upazilla,BGD,GADM
Muksudpur,BGD::Dhaka::Gopalganj::Muksudpur,3,upazilla,Upazilla,BGD,GADM
Tungi Para,BGD::Dhaka::Gopalganj::Tungi Para,3,upazilla,Upazilla,BGD,GADM
Bakshiganj,BGD::Dhaka::Jamalpur::Bakshiganj,3,upazilla,Upazilla,BGD,GADM
