SURVEY NAME,FILE TYPE,FILE NAME,FILE FORMAT
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Recode,BDHR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Recode,BDHR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Individual Recode,BDIR31.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Individual Recode,BDIR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Individual Recode,BDIR31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Individual Recode,BDIR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Individual Recode,BDIR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Men's Recode,BDMR31.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Men's Recode,BDMR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Men's Recode,BDMR31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Men's Recode,BDMR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Men's Recode,BDMR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Service Availability Raw,BDSQ35.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Service Availability Raw,BDSQ35DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Service Availability Raw,BDSQ35FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Service Availability Raw,BDSQ35SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Service Availability Raw,BDSQ35SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Wealth Index,BDWI31.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Wealth Index,BDWI31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Wealth Index,BDWI31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Wealth Index,BDWI31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Wealth Index,BDWI31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Births Recode,BDBR3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Births Recode,BDBR3AFL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Births Recode,BDBR3ASD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Births Recode,BDBR3ASV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Children's Recode,BDKR3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Children's Recode,BDKR3AFL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Children's Recode,BDKR3ASD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Children's Recode,BDKR3ASV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Couples' Recode,BDCR3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Couples' Recode,BDCR3AFL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Couples' Recode,BDCR3ASD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Couples' Recode,BDCR3ASV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Height and Weight Scores - WHO Child Growth Standards,BDHW3A.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1996-97",Height and Weight Scores - WHO Child Growth Standards,BDHW3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Height and Weight Scores - WHO Child Growth Standards,BDHW3AFL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Height and Weight Scores - WHO Child Growth Standards,BDHW3ASD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Height and Weight Scores - WHO Child Growth Standards,BDHW3ASV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Member Recode,BDPR3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Member Recode,BDPR3AFL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Member Recode,BDPR3ASD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Member Recode,BDPR3ASV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Recode,BDHR3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Recode,BDHR3AFL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Recode,BDHR3ASD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1996-97",Household Recode,BDHR3ASV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1996-97",Individual Recode,BDIR3A.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1996-97",Individual Recode,BDIR3ADT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1996-97",Individual Recode,BDIR3AFL.ZIP,Flat ASCII data (.dat)
