SURVEY NAME,FILE TYPE,FILE NAME,FILE FORMAT
"Armenia DHS-IV, Standard DHS, 2000",Births Recode,AMBR42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Births Recode,AMBR42SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Children's Recode,AMKR42DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Children's Recode,AMKR42FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Children's Recode,AMKR42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Children's Recode,AMKR42SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Couples' Recode,AMCR42DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Couples' Recode,AMCR42FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Couples' Recode,AMCR42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Couples' Recode,AMCR42SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Height and Weight Scores - WHO Child Growth Standards,AMHW41.ZIP,Hierarchical
"Armenia DHS-IV, Standard DHS, 2000",Height and Weight Scores - WHO Child Growth Standards,AMHW41DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Height and Weight Scores - WHO Child Growth Standards,AMHW41FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Height and Weight Scores - WHO Child Growth Standards,AMHW41SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Height and Weight Scores - WHO Child Growth Standards,AMHW41SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-IV, Standard DHS, 2000",Household Member Recode,AMPR42DT.ZIP,Stata dataset (.dta)
"Armenia DHS-IV, Standard DHS, 2000",Household Member Recode,AMPR42FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-IV, Standard DHS, 2000",Household Member Recode,AMPR42SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-IV, Standard DHS, 2000",Household Member Recode,AMPR42SV.ZIP,SPSS dataset (.sav)
